#,ประชาธิปัตย์:150,พลังประชารัฐ:150,อนาคตใหม่:150,ประชาชาติ:150,ภูมิใจไทย:150,เสรีรวมไทย:150,รวมพลังประชาชาติไทย:150,แทนคุณแผ่นดิน:150,เศรษฐกิจใหม่:150,ชาติไทยพัฒนา:150,เพื่อชาติ:150,กรีน:150,ประชาธิปไตยใหม่:150,พลังไทยรักไทย:150,ประชาภิวัฒน์:150,พลังสังคม:150,รักษ์ผืนป่าประเทศไทย:150,ความหวังใหม่:150,พลังชาติไทย:150,ภราดรภาพ:150,ถิ่นกาขาวชาววิไล:150,พลังไทยรักชาติ:150,พลังท้องถิ่นไท:150,ไทยศรีวิไลย์:150,พลังธรรมใหม่:150,ชาติพัฒนา:150,ประชานิยม:150,ไทรักธรรม:150,คลองไทย:150,ครูไทยเพื่อประชาชน:150,เพื่อแผ่นดิน:150,ประชาชนปฏิรูป:150,ไทยรักษาชาติ:150,เพื่อไทย:150,พลังศรัทธา:150,แผ่นดินธรรม:150,ทางเลือกใหม่:150,ประชาธรรมไทย:150,พลังไทสร้างชาติ:150,มหาชน:150,ภาคเครือข่ายไทย:150,มติประชา:150,พลังประชาธิปไตย:150,สามัญชน:150,กลาง:150,ประชากรไทย:150,พลังรัก:150,พลเมืองไทย:150,ชาติพันธุ์ไทย:150,พลังปวงชนไทย:150,ประชาไทย:150,เพื่อนไทย:150,สยามพัฒนา:150,อนาคตไทย:150,ไทยรุ่งเรือง:150,เครือข่ายชาวนาแห่งประเทศไทย:150,เพื่อชีวิตใหม่:150,ภูมิพลังเกษตรกรไทย:150,เพื่อคนไทย:150,ฐานรากไทย:150,ไทยธรรม:150,ผงึ้ หลวง:150,เพอื่ สหกรณ์ไทย:150,เพื่อไทยพัฒนา:150,พลังครูไทย:150,ประชาธิปไตยเพื่อประชาชน:150,รวมใจไทย:150,รักท้องถิ่นไทย:150,พลังไทยดี:150,สังคมประชาธิปไตยไทย:150,พลังแรงงานไทย:150,เพื่อธรรม:150,รักษ์ธรรม:150,พลังแผ่นดินทอง:150,ยางพาราไทย:150,พลังสหกรณ์:150,คนธรรมดาแห่งประเทศไทย:150,พัฒนาประเทศไทย:150,คนงานไทย:150,พลังคนกีฬา:150,กสิกรไทย:150
กระบี่-1,44346,30381,17783,8484,4784,3474,2032,1986,1596,1128,942,714,672,634,623,572,455,452,424,415,401,389,374,313,289,273,272,272,116,108,93,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
กระบี่-2,40014,12531,12412,5204,41978,1660,418,481,1227,298,858,150,993,146,0,0,216,169,324,0,0,0,705,205,286,243,538,110,593,106,247,289,0,6852,224,212,160,107,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
กรุงเทพมหานคร-1,14348,23246,18091,91,806,1687,547,0,4522,212,168,0,0,0,54,0,301,0,27,62,36,0,426,223,0,0,23,25,0,24,33,268,0,15904,15,34,0,21,0,25,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
กรุงเทพมหานคร-2,16269,26909,26636,166,2947,3434,1022,0,5610,162,2142,0,0,0,36,41,246,0,86,19,38,0,103,0,0,189,49,0,0,40,0,195,0,0,0,51,0,23,0,27,23,55,102,47,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
กรุงเทพมหานคร-3,17029,25148,28444,235,1082,3832,546,0,5788,208,1209,0,101,0,186,29,247,0,129,36,0,147,284,183,102,369,40,28,0,142,0,350,0,0,32,34,0,25,34,27,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
กรุงเทพมหานคร-4,13890,27620,25588,420,898,3199,712,0,4408,202,3424,0,74,0,40,0,269,0,64,26,0,0,395,165,0,269,51,32,0,45,0,179,0,0,20,0,0,13,124,62,17,71,0,0,0,75,35,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
กรุงเทพมหานคร-5,18711,27667,25484,140,746,2583,603,0,5707,436,221,0,107,77,97,97,369,0,104,38,0,0,86,209,92,291,38,0,0,56,0,0,0,27897,0,0,0,16,0,30,24,9,82,0,0,0,0,0,164,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
กรุงเทพมหานคร-6,16525,28690,23980,115,1101,2471,811,0,5416,276,102,0,44,0,36,0,429,0,75,117,0,0,384,164,0,224,66,0,0,38,39,263,0,22275,0,0,0,0,16,49,3,15,0,0,0,0,59,63,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
กรุงเทพมหานคร-7,12896,25180,21339,259,1003,2006,658,0,3848,242,426,0,0,0,123,0,476,0,89,92,0,0,5160,238,0,224,97,32,0,39,81,164,0,23998,30,30,0,20,0,26,0,13,0,0,59,58,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
กรุงเทพมหานคร-8,15384,29090,25656,89,764,2338,690,0,5661,597,293,0,151,0,105,0,450,0,36,48,15,0,129,171,75,205,50,0,0,46,0,195,0,26122,25,0,0,43,0,73,11,10,0,0,64,0,31,20,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
กรุงเทพมหานคร-9,16255,34907,25735,147,1666,2593,760,0,5873,380,348,0,0,0,58,55,578,0,52,54,0,0,170,0,0,241,81,0,0,59,0,237,0,32115,25,0,0,49,46,0,38,23,71,0,0,98,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
กรุงเทพมหานคร-10,14061,22067,22062,164,0,2326,627,0,0,227,129,0,35,0,88,0,428,0,38,65,0,0,183,257,0,245,107,60,0,64,0,126,0,30800,0,40,0,28,0,0,26,8,0,0,0,0,0,0,0,0,16,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
